c1001,64,66,71
c1002,90,80,77
c1003,185,107,66
c1004,91,49,40
c1005,134,63,67
c1006,209,63,73
c1007,203,94,140
c1008,254,151,149
c1009,215,171,200
c1010,194,90,159
c1011,178,167,202
c1012,171,134,200
c1013,129,95,181
c1014,80,55,127
c1015,203,236,230
c1016,62,163,84
c1017,21,50,42
c1018,23,102,125
c1019,159,192,42
c1020,149,191,223
c1021,86,151,197
c1022,81,183,208
c1023,49,142,200
c1024,0,72,165
c1025,10,30,72
c1026,235,233,221
c1027,233,226,217
c1028,230,208,191
c1029,225,193,162
c1030,218,173,130
c1031,218,155,99
c1032,212,139,86
c1034,228,127,54
c1035,211,194,130
c1036,227,189,117
c1037,237,225,130
c1038,230,199,33
c1039,230,172,41
c1040,73,113,93
c1041,106,111,66
c1042,115,106,69
c1043,62,67,68
c1044,134,139,140
c1045,77,104,126
c1046,26,27,32
